month,region,country,no_of_visitor_arrivals,year
1,Asia,Brunei,4600,1996
1,Asia,Indonesia,75854,1996
1,Asia,Malaysia,47953,1996
1,Asia,Philippines,10594,1996
1,Asia,Thailand,16996,1996
1,Asia,Vietnam,1536,1996
1,Asia,Japan,105750,1996
1,Asia,Hong Kong,15868,1996
1,Asia,"China, People's Republic Of",19510,1996
1,Asia,Taiwan,36473,1996
1,Asia,"Korea, Republic Of",57136,1996
1,Asia,India,14707,1996
1,Asia,Pakistan,4171,1996
1,Asia,"Sri Lanka, Republic Of",3638,1996
1,Asia,Saudi Arabia,852,1996
1,Asia,Kuwait,150,1996
1,Asia,United Arab Emirates,879,1996
1,Europe,United Kingdom,24826,1996
1,Europe,Germany,16463,1996
1,Europe,France,4986,1996
1,Europe,Italy,3862,1996
1,Europe,Netherlands,5276,1996
1,Europe,Greece,1114,1996
1,Europe,Belgium-luxembourg,1375,1996
1,Europe,Switzerland,4755,1996
1,Europe,Austria,1928,1996
1,Europe,Scandinavia,8406,1996
1,Europe,CIS & Eastern Europe,5520,1996
1,Americas,USA,33675,1996
1,Americas,Canada,6300,1996
1,Oceania,Australia,33004,1996
1,Oceania,New Zealand,5216,1996
2,Asia,Brunei,5207,1996
2,Asia,Indonesia,98406,1996
2,Asia,Malaysia,57795,1996
2,Asia,Philippines,10397,1996
2,Asia,Thailand,15892,1996
2,Asia,Vietnam,1345,1996
2,Asia,Japan,84686,1996
2,Asia,Hong Kong,32198,1996
2,Asia,"China, People's Republic Of",18351,1996
2,Asia,Taiwan,55018,1996
2,Asia,"Korea, Republic Of",32462,1996
2,Asia,India,12537,1996
2,Asia,Pakistan,2799,1996
2,Asia,"Sri Lanka, Republic Of",3003,1996
2,Asia,Saudi Arabia,825,1996
2,Asia,Kuwait,471,1996
2,Asia,United Arab Emirates,693,1996
2,Europe,United Kingdom,25563,1996
2,Europe,Germany,17082,1996
2,Europe,France,7467,1996
2,Europe,Italy,3041,1996
2,Europe,Netherlands,5019,1996
2,Europe,Greece,900,1996
2,Europe,Belgium-luxembourg,1513,1996
2,Europe,Switzerland,4789,1996
2,Europe,Austria,2094,1996
2,Europe,Scandinavia,8014,1996
2,Europe,CIS & Eastern Europe,4136,1996
2,Americas,USA,30853,1996
2,Americas,Canada,6215,1996
2,Oceania,Australia,21396,1996
2,Oceania,New Zealand,3645,1996
3,Asia,Brunei,4290,1996
3,Asia,Indonesia,75483,1996
3,Asia,Malaysia,55908,1996
3,Asia,Philippines,13487,1996
3,Asia,Thailand,23085,1996
3,Asia,Vietnam,1605,1996
3,Asia,Japan,122188,1996
3,Asia,Hong Kong,21981,1996
3,Asia,"China, People's Republic Of",20888,1996
3,Asia,Taiwan,42580,1996
3,Asia,"Korea, Republic Of",42380,1996
3,Asia,India,15635,1996
3,Asia,Pakistan,4249,1996
3,Asia,"Sri Lanka, Republic Of",4034,1996
3,Asia,Saudi Arabia,832,1996
3,Asia,Kuwait,281,1996
3,Asia,United Arab Emirates,1081,1996
3,Europe,United Kingdom,29122,1996
3,Europe,Germany,21450,1996
3,Europe,France,7025,1996
3,Europe,Italy,3324,1996
3,Europe,Netherlands,5662,1996
3,Europe,Greece,1039,1996
3,Europe,Belgium-luxembourg,1734,1996
3,Europe,Switzerland,5195,1996
3,Europe,Austria,2117,1996
3,Europe,Scandinavia,8993,1996
3,Europe,CIS & Eastern Europe,3908,1996
3,Americas,USA,34876,1996
3,Americas,Canada,6922,1996
3,Oceania,Australia,28934,1996
3,Oceania,New Zealand,4881,1996
4,Asia,Brunei,4063,1996
4,Asia,Indonesia,73102,1996
4,Asia,Malaysia,57477,1996
4,Asia,Philippines,15889,1996
4,Asia,Thailand,31643,1996
4,Asia,Vietnam,1467,1996
4,Asia,Japan,80078,1996
4,Asia,Hong Kong,26255,1996
4,Asia,"China, People's Republic Of",18288,1996
4,Asia,Taiwan,46446,1996
4,Asia,"Korea, Republic Of",26761,1996
4,Asia,India,17905,1996
4,Asia,Pakistan,3903,1996
4,Asia,"Sri Lanka, Republic Of",4996,1996
4,Asia,Saudi Arabia,1325,1996
4,Asia,Kuwait,383,1996
4,Asia,United Arab Emirates,1260,1996
4,Europe,United Kingdom,27421,1996
4,Europe,Germany,17526,1996
4,Europe,France,7645,1996
4,Europe,Italy,2646,1996
4,Europe,Netherlands,5213,1996
4,Europe,Greece,994,1996
4,Europe,Belgium-luxembourg,1712,1996
4,Europe,Switzerland,5266,1996
4,Europe,Austria,1810,1996
4,Europe,Scandinavia,7067,1996
4,Europe,CIS & Eastern Europe,3895,1996
4,Americas,USA,30082,1996
4,Americas,Canada,4828,1996
4,Oceania,Australia,25767,1996
4,Oceania,New Zealand,5551,1996
5,Asia,Brunei,5266,1996
5,Asia,Indonesia,72856,1996
5,Asia,Malaysia,60156,1996
5,Asia,Philippines,14858,1996
5,Asia,Thailand,23901,1996
5,Asia,Vietnam,1681,1996
5,Asia,Japan,78901,1996
5,Asia,Hong Kong,18752,1996
5,Asia,"China, People's Republic Of",26045,1996
5,Asia,Taiwan,40295,1996
5,Asia,"Korea, Republic Of",27975,1996
5,Asia,India,21722,1996
5,Asia,Pakistan,3381,1996
5,Asia,"Sri Lanka, Republic Of",3700,1996
5,Asia,Saudi Arabia,708,1996
5,Asia,Kuwait,226,1996
5,Asia,United Arab Emirates,787,1996
5,Europe,United Kingdom,20758,1996
5,Europe,Germany,13524,1996
5,Europe,France,5859,1996
5,Europe,Italy,2844,1996
5,Europe,Netherlands,4861,1996
5,Europe,Greece,919,1996
5,Europe,Belgium-luxembourg,1295,1996
5,Europe,Switzerland,4435,1996
5,Europe,Austria,1391,1996
5,Europe,Scandinavia,4847,1996
5,Europe,CIS & Eastern Europe,3885,1996
5,Americas,USA,28492,1996
5,Americas,Canada,4341,1996
5,Oceania,Australia,25775,1996
5,Oceania,New Zealand,5325,1996
6,Asia,Brunei,4543,1996
6,Asia,Indonesia,106646,1996
6,Asia,Malaysia,64730,1996
6,Asia,Philippines,11724,1996
6,Asia,Thailand,18922,1996
6,Asia,Vietnam,1969,1996
6,Asia,Japan,91658,1996
6,Asia,Hong Kong,24476,1996
6,Asia,"China, People's Republic Of",11006,1996
6,Asia,Taiwan,42114,1996
6,Asia,"Korea, Republic Of",22244,1996
6,Asia,India,20141,1996
6,Asia,Pakistan,4480,1996
6,Asia,"Sri Lanka, Republic Of",3697,1996
6,Asia,Saudi Arabia,706,1996
6,Asia,Kuwait,292,1996
6,Asia,United Arab Emirates,1102,1996
6,Europe,United Kingdom,20122,1996
6,Europe,Germany,10746,1996
6,Europe,France,5188,1996
6,Europe,Italy,2730,1996
6,Europe,Netherlands,4760,1996
6,Europe,Greece,1261,1996
6,Europe,Belgium-luxembourg,1319,1996
6,Europe,Switzerland,3953,1996
6,Europe,Austria,1251,1996
6,Europe,Scandinavia,6082,1996
6,Europe,CIS & Eastern Europe,3584,1996
6,Americas,USA,32088,1996
6,Americas,Canada,4571,1996
6,Oceania,Australia,29769,1996
6,Oceania,New Zealand,6303,1996
7,Asia,Brunei,5358,1996
7,Asia,Indonesia,110503,1996
7,Asia,Malaysia,55219,1996
7,Asia,Philippines,11684,1996
7,Asia,Thailand,20151,1996
7,Asia,Vietnam,1954,1996
7,Asia,Japan,99010,1996
7,Asia,Hong Kong,28195,1996
7,Asia,"China, People's Republic Of",17949,1996
7,Asia,Taiwan,55703,1996
7,Asia,"Korea, Republic Of",31934,1996
7,Asia,India,17268,1996
7,Asia,Pakistan,5458,1996
7,Asia,"Sri Lanka, Republic Of",3896,1996
7,Asia,Saudi Arabia,3012,1996
7,Asia,Kuwait,625,1996
7,Asia,United Arab Emirates,3246,1996
7,Europe,United Kingdom,24253,1996
7,Europe,Germany,12833,1996
7,Europe,France,6956,1996
7,Europe,Italy,3723,1996
7,Europe,Netherlands,6749,1996
7,Europe,Greece,1639,1996
7,Europe,Belgium-luxembourg,1999,1996
7,Europe,Switzerland,5086,1996
7,Europe,Austria,1930,1996
7,Europe,Scandinavia,7801,1996
7,Europe,CIS & Eastern Europe,3871,1996
7,Americas,USA,31229,1996
7,Americas,Canada,5535,1996
7,Oceania,Australia,33270,1996
7,Oceania,New Zealand,7046,1996
8,Asia,Brunei,6245,1996
8,Asia,Indonesia,82822,1996
8,Asia,Malaysia,56621,1996
8,Asia,Philippines,11997,1996
8,Asia,Thailand,19165,1996
8,Asia,Vietnam,2126,1996
8,Asia,Japan,114635,1996
8,Asia,Hong Kong,37623,1996
8,Asia,"China, People's Republic Of",17662,1996
8,Asia,Taiwan,57162,1996
8,Asia,"Korea, Republic Of",37145,1996
8,Asia,India,16020,1996
8,Asia,Pakistan,4038,1996
8,Asia,"Sri Lanka, Republic Of",3744,1996
8,Asia,Saudi Arabia,4568,1996
8,Asia,Kuwait,685,1996
8,Asia,United Arab Emirates,3235,1996
8,Europe,United Kingdom,28483,1996
8,Europe,Germany,13530,1996
8,Europe,France,8287,1996
8,Europe,Italy,6692,1996
8,Europe,Netherlands,5781,1996
8,Europe,Greece,1768,1996
8,Europe,Belgium-luxembourg,1918,1996
8,Europe,Switzerland,4140,1996
8,Europe,Austria,2096,1996
8,Europe,Scandinavia,5588,1996
8,Europe,CIS & Eastern Europe,3832,1996
8,Americas,USA,29037,1996
8,Americas,Canada,5544,1996
8,Oceania,Australia,28349,1996
8,Oceania,New Zealand,6544,1996
9,Asia,Brunei,4597,1996
9,Asia,Indonesia,75232,1996
9,Asia,Malaysia,52026,1996
9,Asia,Philippines,12566,1996
9,Asia,Thailand,16500,1996
